entity,n-revs
db/migrations/migrations/1623707338661_call_flow_nickname/down.sql,3
db/migrations/migrations/1623707338661_call_flow_nickname/up.sql,3
walter-client/src/components/Chat/StageContainer.tsx,2
windows/electron_app/src/window-api/window.ts,2
walter-client/packages/ai-director/src/pages/ActionsPage/triggers.gql.ts,2
walter-client/callflows/earthlink-update.html,2
walter-client/packages/ai-director/src/pages/ActionsPage/Styled.tsx,2
integrations/event-broker/event_broker/api_tokens.py,2
walter-client/src/components/Chat/Styled.tsx,2
walter-client/migrations/migrations/1609876382939_alter_table_app_used_widgets_add_unique_chat_id_widget_template_id/down.sql,2
walter-client/src/netlify-functions/build-hash-version-function/handler.ts,2
walter-server/bin/word-error-rate.py,2
walter-client/src/components/Chat/SleepnumberWidgets/WidgetPicker.tsx,2
walter-client/packages/ai-director/src/pages/AgentProgression/queries/call-flow-query.gql.tsx,2
db/utils/upload-earthlink-callflow.js,2
windows/electron_app/licenses.txt,2
walter-client/packages/ai-director/src/pages/VisualCallFlowEditor/WidgetWrapperPreview.tsx,2
walter-client/migrations/migrations/1609876382939_alter_table_app_used_widgets_add_unique_chat_id_widget_template_id/up.sql,2
walter-client/packages/ai-director/src/pages/IntentsQAPage/IntentsDataset.tsx,2
walter-server/walter_tornado/endpoint_handlers/utils/websocket.py,2
walter-client/packages/ai-director/src/pages/ConversationView/CheckListPanel/TimeCompletedLabel.tsx,2
models/actions/auth.py,2
walter-client/packages/ai-director/src/components/CopyTranscriptButton/CopyableTranscript.tsx,2
walter-client/packages/ai-director/src/components/MessageTranscript/Styled.tsx,2
walter-client/src/components/Notes/update-used-widgets-mutation.gql.tsx,2
integrations/event-broker/Dockerfile,2
walter-client/packages/ai-director/src/pages/MomentsPage/types.ts,2
walter-client/packages/ai-director/src/utils/track-voice-event-types.ts,2
walter-client/packages/ai-director/src/pages/AgentProgressionFake/AgentProgression.tsx,2
walter-client/migrations/migrations/1609352250395_alter_table_app_widget_predictions_alter_column_widget_template_id/up.sql,2
walter-client/callflows/homepoint.html,2
walter-client/packages/ai-director/src/pages/__tests__/index.test.tsx,2
windows/electron_app/status_page/connect_fail.js,2
walter-client/migrations/migrations/1611181948812_alter_table_app_agent_did_do_behavior_add_column_agent_profile_id/up.sql,2
walter-client/packages/ai-director/src/pages/AgentProgression/ChatsListDrawer/agent-progression-chat-list.gql.tsx,2
windows/electron_app/src/window-api/index.ts,2
windows/electron_app/configuration/platform-config.json,2
walter-client/packages/ai-director/src/utils/optimizely-featured-enabled.ts,2
walter-client/src/components/Chat/Callflow/FlowBar/SingleBar.tsx,2
windows/electron_app/status_page/status.css,2
walter-client/packages/ai-director/src/components/ChatCount/chat-count.gql.ts,2
windows/audiograb/external/miniaudio.h,2
windows/electron_app/configuration/sleepnumber/platform-config.json,2
integrations/cisco-cti/src/cti-session.ts,2
walter-client/migrations/migrations/1609352250395_alter_table_app_widget_predictions_alter_column_widget_template_id/down.sql,2
walter-client/src/pages/CallflowEditorPage/insert-behaviors-for-callflow.gql.ts,2
walter-client/packages/ai-director/src/pages/ConversationView/MessageArea/Container.tsx,2
README.md,2
.gitignore,2
cronjobs/upload-should-do-x-staging.sh,2
walter-client/src/pages/PlaybackPage/PlaybackPage.tsx,2
windows/electron_app/src/window-api/events.ts,2
walter-client/packages/ai-director/src/pages/AgentProgressionFake/Group/BehaviorHeatMap/Container.tsx,2
walter-client/packages/ai-director/src/pages/AgentProgression/HeatMap/XLabelToolTip.tsx,2
walter-client/src/netlify-functions/tsconfig.server.json,2
bin/good-intent/hyperparams/earthlink.json,2
walter-client/packages/ai-director/src/pages/VisualCallFlowEditor/call-flow-query.gql.ts,2
models/actions/Dockerfile,2
walter-client/src/pages/CallflowEditorPage/insert-callflow-mutation.gql.tsx,2
walter-client/migrations/migrations/1609361806231_alter_table_app_used_widgets_alter_column_widget_template_id/down.sql,2
walter-server/walter_tornado/util.py,2
windows/audiograb/audiograb_channel.cpp,2
windows/recorder_app/yarn.lock,2
walter-client/packages/ai-director/src/pages/AgentProgression/Legend.tsx,2
walter-client/public/index.html,2
walter-client/packages/ai-director/src/pages/VisualCallFlowEditor/WidgetTemplateRouter.tsx,2
walter-client/migrations/migrations/1611181990485_set_fk_app_agent_did_do_behavior_agent_profile_id/down.sql,2
walter-client/packages/ai-director/src/components/Visible/index.tsx,2
integrations/cisco-cti/src/cti-test.ts,2
walter-client/src/util/memory-tracker.ts,2
walter-client/src/demos/FlowBar/SingleBar.tsx,2
walter-client/migrations/migrations/1611181948812_alter_table_app_agent_did_do_behavior_add_column_agent_profile_id/down.sql,2
walter-client/migrations/migrations/1610666024104_alter_table_app_used_widgets_drop_column_notes/down.sql,2
windows/recorder_app/tsconfig.json,2
walter-client/src/components/LatestVersionBanner/index.tsx,2
walter-client/src/components/IdentifyCaller/identify-props.gql.ts,2
walter-client/packages/ai-director/src/pages/ClosedConversationDetails/ChatList/Styled.tsx,2
walter-client/packages/ai-director/src/components/LiveAudioTranscript/chat-messages.gql.ts,2
walter-server/tests/integration/test_transcription_timing.py,2
walter-client/src/pages/ChatPage/ChatPage.tsx,2
integrations/event-broker/event_broker/metrics.py,2
walter-client/src/components/Chat/Callflow/Widgets/TimedPrompt.tsx,2
walter-client/src/netlify-functions/create-auth-user-function/create-user.ts,2
windows/electron_app/tsconfig.json,2
walter-client/migrations/migrations/1611721790468_insert_speaker_role_types/down.sql,2
walter-client/packages/ai-director/src/components/IntentExampleFastAddMenu/insert-intent-examples.gql.ts,2
walter-client/src/UsedWidgetsProvider/used-widgets-query.gql.ts,2
walter-client/src/components/Chat/queries/moments-query.gql.ts,2
walter-server/walter_tornado/callbacks/the_credit_pros.py,2
integrations/cisco-cti/src/cti-messages.ts,2
walter-client/migrations/migrations/1611181990485_set_fk_app_agent_did_do_behavior_agent_profile_id/up.sql,2
walter-client/src/util/auth-data-handler.ts,2
agent-progression-api/requirements.txt,2
